post_id,published_at,track,theme,views,likes,replies,reposts,quotes
p0065,2025-02-06 04:04:53,professional,hot-take,94,1,0,0,0
p0066,2025-02-06 09:48:43,professional,how-to,537,2,2,0,0
p0067,2025-02-06 17:33:12,professional,build-in-public,2408,24,2,2,2
p0068,2025-02-07 04:07:08,professional,hot-take,813,6,4,0,1
p0069,2025-02-08 05:23:31,professional,build-in-public,1349,9,3,0,0
p0070,2025-02-09 07:02:26,daily,personal,3441,16,1,0,0
p0071,2025-02-09 18:44:10,professional,build-in-public,4420,45,7,1,1
p0072,2025-02-10 08:01:24,professional,build-in-public,1019,18,2,0,0
p0073,2025-02-10 18:26:21,daily,personal,4542,18,6,0,0
p0074,2025-02-11 08:27:27,professional,build-in-public,1208,21,1,0,2
p0075,2025-02-12 04:31:34,professional,build-in-public,455,7,0,1,1
p0076,2025-02-13 01:20:12,professional,hot-take,587,7,4,0,0
p0077,2025-02-13 07:18:56,daily,personal,231,5,0,0,0
p0078,2025-02-13 14:02:55,professional,build-in-public,431,10,1,0,1
p0079,2025-02-13 15:07:53,professional,how-to,753,7,1,0,0
p0080,2025-02-14 02:01:58,daily,personal,2549,19,6,3,0
p0081,2025-02-14 02:59:56,daily,personal,6679,47,6,1,2
p0082,2025-02-15 08:11:47,professional,how-to,256,1,0,0,0
p0083,2025-02-16 02:38:17,professional,build-in-public,1656,20,0,1,1
p0084,2025-02-17 21:17:43,professional,build-in-public,367,5,0,0,0
p0085,2025-02-18 08:38:27,professional,build-in-public,1805,10,12,3,1
p0086,2025-02-18 14:45:28,professional,build-in-public,955,9,2,0,0
p0087,2025-02-18 16:38:11,professional,hot-take,160,0,0,0,0
p0088,2025-02-18 21:23:18,professional,build-in-public,2906,29,8,7,1
p0089,2025-02-19 17:41:24,professional,how-to,580,5,1,0,0
p0090,2025-02-21 10:03:27,professional,hot-take,626,3,1,0,0
p0091,2025-02-21 12:41:29,professional,hot-take,356,0,1,0,0
p0092,2025-02-21 16:24:31,professional,build-in-public,551,9,1,0,0
p0093,2025-02-21 18:58:43,daily,personal,1718,5,1,0,0
p0094,2025-02-21 23:15:53,professional,hot-take,899,3,6,0,0
p0095,2025-02-22 00:30:21,professional,hot-take,1548,8,11,1,1
p0096,2025-02-22 05:26:12,professional,build-in-public,1603,13,4,1,0
p0097,2025-02-22 07:32:10,professional,build-in-public,4388,38,6,3,3
p0098,2025-02-22 18:23:27,daily,personal,765,1,0,0,1
p0099,2025-02-23 00:53:00,professional,how-to,232,6,0,0,0
p0100,2025-02-23 02:13:20,professional,how-to,3362,24,2,1,3
p0101,2025-02-23 04:41:59,professional,how-to,774,8,0,1,0
p0102,2025-02-23 11:22:35,professional,hot-take,3534,31,9,0,1
p0103,2025-02-23 14:18:08,daily,personal,1640,6,2,0,0
p0104,2025-02-23 14:30:44,professional,build-in-public,955,12,0,0,0
p0105,2025-02-24 05:41:49,daily,personal,1581,5,4,0,1
p0106,2025-02-24 10:23:03,professional,build-in-public,8506,111,13,5,1
p0107,2025-02-24 14:39:48,professional,hot-take,9709,86,44,2,3
p0108,2025-02-24 23:07:16,professional,hot-take,1179,9,6,0,0
p0109,2025-02-25 02:09:29,professional,build-in-public,1297,16,1,2,0
p0110,2025-02-25 02:54:57,professional,build-in-public,3394,61,9,1,0
p0111,2025-02-25 12:57:18,professional,how-to,451,4,0,0,0
p0112,2025-02-25 21:03:05,daily,personal,1555,11,1,0,0
p0113,2025-02-26 01:27:02,professional,hot-take,1067,15,8,0,2
p0114,2025-02-26 02:47:44,daily,personal,1524,5,3,0,0
p0115,2025-02-26 14:36:47,daily,personal,457,5,0,0,1
p0116,2025-02-28 15:19:45,professional,how-to,206,1,0,0,0
p0117,2025-02-28 21:54:27,daily,personal,124,0,0,0,0
p0118,2025-02-28 23:30:26,professional,build-in-public,339,3,2,0,0
p0119,2025-03-01 04:22:28,professional,build-in-public,677,9,2,0,0
p0120,2025-03-01 05:41:33,daily,personal,806,5,0,1,0
p0121,2025-03-01 13:00:18,daily,personal,8384,55,7,1,0
p0122,2025-03-01 14:59:01,professional,build-in-public,3502,23,1,3,5
p0123,2025-03-02 02:19:27,professional,how-to,399,5,0,0,0
p0124,2025-03-02 04:00:41,professional,hot-take,1579,9,5,1,0
p0125,2025-03-03 01:46:30,daily,personal,715,7,0,0,0
p0126,2025-03-04 15:37:26,professional,hot-take,813,9,1,0,1
p0127,2025-03-06 21:44:44,professional,how-to,1332,7,3,0,0
p0128,2025-03-07 01:00:09,professional,how-to,2100,20,2,2,1
p0129,2025-03-07 01:58:01,professional,how-to,767,7,1,0,0
p0130,2025-03-07 21:01:21,professional,hot-take,3351,18,6,2,6
p0131,2025-03-07 23:53:38,daily,personal,330,3,0,0,1
p0132,2025-03-08 02:55:39,professional,how-to,1103,10,4,0,0
p0133,2025-03-08 06:53:01,professional,build-in-public,134184,1274,174,31,53
p0134,2025-03-08 13:05:44,professional,build-in-public,1386,18,4,1,2
p0135,2025-03-09 04:12:42,professional,hot-take,4938,30,11,1,4
p0136,2025-03-09 06:18:51,daily,personal,1207,13,3,0,0
p0137,2025-03-09 06:42:22,professional,build-in-public,2017,37,9,2,0
p0138,2025-03-09 16:19:29,professional,build-in-public,1033,18,3,0,0
p0139,2025-03-10 09:03:33,professional,hot-take,916,9,3,0,0
p0140,2025-03-10 22:15:03,professional,build-in-public,483,4,2,1,1
p0141,2025-03-13 17:42:21,daily,personal,1722,9,2,0,0
p0142,2025-03-14 06:09:10,professional,how-to,448,2,0,0,0
p0143,2025-03-16 15:35:38,professional,build-in-public,2205,32,1,2,1
p0144,2025-03-16 22:36:24,daily,personal,3427,36,6,0,0
p0145,2025-03-17 00:05:13,professional,build-in-public,1611,27,4,2,0
p0146,2025-03-17 04:02:00,professional,build-in-public,811,8,2,1,0
p0147,2025-03-17 12:45:19,professional,build-in-public,1766,14,4,0,0
p0148,2025-03-17 18:35:30,professional,build-in-public,793,10,2,1,0
p0149,2025-03-18 14:52:43,professional,build-in-public,2928,38,10,4,1
p0150,2025-03-19 21:02:55,professional,build-in-public,160,2,1,0,0
p0151,2025-03-19 21:27:22,professional,build-in-public,770,10,2,1,0
p0152,2025-03-20 18:26:00,professional,build-in-public,135,1,0,0,0
p0153,2025-03-20 22:22:44,professional,hot-take,228,0,0,0,0
p0154,2025-03-21 01:16:46,professional,hot-take,4591,32,12,0,3
p0155,2025-03-21 02:48:50,professional,how-to,2807,31,3,1,1
p0156,2025-03-21 12:57:31,professional,how-to,515,4,2,1,0
p0157,2025-03-21 16:59:19,professional,how-to,226,0,1,0,0
p0158,2025-03-22 16:08:12,daily,personal,48,2,0,0,0
p0159,2025-03-23 05:12:25,daily,personal,619,0,1,0,0
p0160,2025-03-23 06:47:16,professional,build-in-public,13924,134,20,20,7
p0161,2025-03-23 08:38:56,professional,build-in-public,1731,9,3,1,0
p0162,2025-03-23 16:34:54,professional,build-in-public,609,11,0,0,0
p0163,2025-03-24 20:41:27,professional,build-in-public,1787,18,4,1,0
p0164,2025-03-24 21:58:38,professional,hot-take,212,0,0,0,0
p0165,2025-03-24 23:40:59,professional,how-to,802,5,1,1,0
p0166,2025-03-25 06:21:48,professional,build-in-public,1217,9,5,2,1
p0167,2025-03-25 07:57:25,professional,how-to,1001,4,5,0,0
p0168,2025-03-25 08:41:36,professional,how-to,2515,22,9,1,1
p0169,2025-03-25 18:42:56,professional,build-in-public,1574,17,2,1,0
p0170,2025-03-25 21:57:08,daily,personal,2212,22,1,0,0
p0171,2025-03-27 07:26:18,professional,build-in-public,532,8,2,0,0
p0172,2025-03-27 07:55:08,daily,personal,2814,37,2,0,0
p0173,2025-03-27 09:06:54,professional,build-in-public,6065,35,8,13,1
p0174,2025-03-27 14:47:10,daily,personal,395,1,1,0,0
p0175,2025-03-27 20:56:11,daily,personal,431,3,0,0,0
p0176,2025-03-27 23:03:29,daily,personal,4458,26,5,0,0
p0177,2025-03-29 13:18:31,daily,personal,897,5,0,0,0
p0178,2025-03-29 16:38:32,daily,personal,4788,37,5,0,0
p0179,2025-03-30 11:04:53,professional,hot-take,689,7,6,0,0
p0180,2025-03-30 15:02:26,daily,personal,5053,28,3,1,1
p0181,2025-04-01 05:05:54,professional,build-in-public,1258,20,2,0,0
p0182,2025-04-01 06:19:54,professional,how-to,1438,11,3,3,1
p0183,2025-04-01 10:16:22,professional,how-to,5670,30,7,0,0
p0184,2025-04-01 13:48:53,daily,personal,750,8,0,0,0
p0185,2025-04-01 22:38:21,professional,how-to,408,3,0,0,0
p0186,2025-04-02 00:50:12,professional,how-to,684,4,1,0,0
p0187,2025-04-02 08:57:43,professional,hot-take,1763,17,4,1,0
p0188,2025-04-02 19:33:13,professional,build-in-public,211,1,0,0,1
p0189,2025-04-03 02:25:06,professional,build-in-public,2141,35,2,1,1
p0190,2025-04-03 15:03:47,professional,how-to,622,2,3,0,0
p0191,2025-04-03 16:06:45,professional,how-to,3659,19,4,4,0
p0192,2025-04-03 20:43:13,professional,build-in-public,88,3,0,0,0
p0193,2025-04-03 21:45:43,professional,how-to,480,3,1,1,0
p0194,2025-04-04 00:09:23,professional,how-to,186,0,1,0,0
p0195,2025-04-04 06:48:47,professional,how-to,460,5,0,0,0
p0196,2025-04-04 12:59:58,professional,how-to,1422,15,3,3,1
p0197,2025-04-04 15:27:21,professional,hot-take,908,10,6,3,0
p0198,2025-04-04 21:24:09,professional,build-in-public,840,7,2,1,1
p0199,2025-04-05 14:16:13,daily,personal,927,5,0,1,0
p0200,2025-04-05 16:27:43,daily,personal,1357,10,4,0,0
p0201,2025-04-05 19:46:56,professional,how-to,380,6,0,0,0
p0202,2025-04-06 18:24:25,professional,how-to,2303,32,7,0,4
p0203,2025-04-06 18:47:30,professional,how-to,2199,15,1,0,0
p0204,2025-04-07 05:32:06,daily,personal,1643,9,2,0,0
p0205,2025-04-07 20:50:31,professional,hot-take,1967,12,10,0,1
p0206,2025-04-08 18:42:08,daily,personal,1497,14,2,1,0
p0207,2025-04-08 21:48:25,professional,how-to,9291,97,12,6,2
p0208,2025-04-09 11:42:52,professional,hot-take,1000,6,3,0,2
p0209,2025-04-10 00:56:02,professional,build-in-public,794,13,2,0,0
p0210,2025-04-10 02:07:44,professional,hot-take,497,2,8,1,0
p0211,2025-04-10 02:17:46,professional,build-in-public,370,5,2,0,0
p0212,2025-04-10 22:19:15,professional,hot-take,296,3,1,0,0
p0213,2025-04-11 03:52:19,daily,personal,431,0,0,0,0
p0214,2025-04-12 13:19:09,professional,build-in-public,1018,21,0,1,0
p0215,2025-04-12 18:06:30,professional,hot-take,1557,15,6,0,3
p0216,2025-04-12 19:47:45,professional,build-in-public,1157,10,1,3,0
p0217,2025-04-12 22:29:25,professional,hot-take,490,6,0,0,0
p0218,2025-04-13 03:16:47,professional,build-in-public,2821,27,11,2,0
p0219,2025-04-13 04:09:20,daily,personal,2383,20,2,0,0
p0220,2025-04-16 15:48:48,professional,build-in-public,927,11,2,0,0
p0221,2025-04-17 06:45:14,daily,personal,552,2,0,0,0
p0222,2025-04-17 20:56:17,daily,personal,1950,3,3,2,0
p0223,2025-04-18 04:10:31,professional,hot-take,1335,7,12,0,1
p0224,2025-04-18 09:49:56,daily,personal,239,1,1,0,0
p0225,2025-04-18 18:12:36,daily,personal,1021,4,0,0,0
p0226,2025-04-19 02:54:23,daily,personal,1443,7,1,0,0
p0227,2025-04-20 04:48:52,professional,build-in-public,426,3,1,0,0
p0228,2025-04-20 18:44:22,professional,hot-take,1338,5,2,0,0
p0229,2025-04-21 06:50:26,professional,build-in-public,238,1,0,0,0
p0230,2025-04-22 15:04:29,professional,hot-take,4460,11,10,1,3
p0231,2025-04-22 21:30:51,professional,build-in-public,4065,35,5,3,4
p0232,2025-04-25 04:52:55,professional,hot-take,841,11,3,0,2
p0233,2025-04-25 11:10:47,professional,hot-take,1606,13,17,0,0
p0234,2025-04-26 03:12:28,professional,how-to,87,0,0,0,0
p0235,2025-04-26 07:58:03,professional,how-to,325,5,0,0,0
p0236,2025-04-26 12:18:48,daily,personal,805,9,2,0,0
p0237,2025-04-27 02:22:38,daily,personal,355,3,1,0,0
p0238,2025-04-27 22:42:03,professional,how-to,2321,23,4,3,0
p0239,2025-04-29 03:03:10,professional,hot-take,8929,56,33,2,4
p0240,2025-04-29 12:52:52,daily,personal,318,2,0,0,0
