user_id,signup_month,plan,channel,activity_month
37,2024-08,free,content,2024-08
37,2024-08,free,content,2024-09
37,2024-08,free,content,2024-10
37,2024-08,free,content,2024-11
37,2024-08,free,content,2024-12
37,2024-08,free,content,2025-01
37,2024-08,free,content,2025-02
38,2024-08,free,organic,2024-08
39,2024-03,free,organic,2024-03
39,2024-03,free,organic,2024-04
39,2024-03,free,organic,2024-05
40,2024-06,free,referral,2024-06
40,2024-06,free,referral,2024-07
40,2024-06,free,referral,2024-08
40,2024-06,free,referral,2024-09
40,2024-06,free,referral,2024-10
40,2024-06,free,referral,2024-11
40,2024-06,free,referral,2024-12
41,2024-02,free,organic,2024-02
41,2024-02,free,organic,2024-03
41,2024-02,free,organic,2024-04
41,2024-02,free,organic,2024-05
41,2024-02,free,organic,2024-06
42,2024-07,starter,organic,2024-07
42,2024-07,starter,organic,2024-08
43,2024-07,free,organic,2024-07
43,2024-07,free,organic,2024-08
43,2024-07,free,organic,2024-09
43,2024-07,free,organic,2024-10
43,2024-07,free,organic,2024-11
44,2024-04,free,organic,2024-04
44,2024-04,free,organic,2024-05
44,2024-04,free,organic,2024-06
44,2024-04,free,organic,2024-07
44,2024-04,free,organic,2024-08
45,2024-01,free,paid_search,2024-01
45,2024-01,free,paid_search,2024-02
45,2024-01,free,paid_search,2024-03
45,2024-01,free,paid_search,2024-04
45,2024-01,free,paid_search,2024-05
45,2024-01,free,paid_search,2024-06
45,2024-01,free,paid_search,2024-07
45,2024-01,free,paid_search,2024-08
45,2024-01,free,paid_search,2024-09
45,2024-01,free,paid_search,2024-10
46,2024-09,free,referral,2024-09
46,2024-09,free,referral,2024-10
46,2024-09,free,referral,2024-11
46,2024-09,free,referral,2024-12
46,2024-09,free,referral,2025-01
47,2024-05,free,paid_search,2024-05
48,2024-09,free,referral,2024-09
48,2024-09,free,referral,2024-10
49,2024-07,starter,paid_search,2024-07
50,2024-08,free,organic,2024-08
51,2024-07,free,organic,2024-07
51,2024-07,free,organic,2024-08
51,2024-07,free,organic,2024-09
51,2024-07,free,organic,2024-10
51,2024-07,free,organic,2024-11
51,2024-07,free,organic,2024-12
52,2024-02,free,organic,2024-02
52,2024-02,free,organic,2024-03
52,2024-02,free,organic,2024-04
52,2024-02,free,organic,2024-05
52,2024-02,free,organic,2024-06
52,2024-02,free,organic,2024-07
53,2024-04,starter,organic,2024-04
53,2024-04,starter,organic,2024-05
53,2024-04,starter,organic,2024-06
53,2024-04,starter,organic,2024-07
53,2024-04,starter,organic,2024-08
53,2024-04,starter,organic,2024-09
53,2024-04,starter,organic,2024-10
53,2024-04,starter,organic,2024-11
53,2024-04,starter,organic,2024-12
53,2024-04,starter,organic,2025-01
54,2024-05,free,organic,2024-05
54,2024-05,free,organic,2024-06
55,2024-05,pro,organic,2024-05
56,2024-01,pro,organic,2024-01
56,2024-01,pro,organic,2024-02
56,2024-01,pro,organic,2024-03
56,2024-01,pro,organic,2024-04
57,2024-05,free,referral,2024-05
58,2024-02,starter,paid_search,2024-02
58,2024-02,starter,paid_search,2024-03
58,2024-02,starter,paid_search,2024-04
59,2024-07,free,content,2024-07
59,2024-07,free,content,2024-08
59,2024-07,free,content,2024-09
59,2024-07,free,content,2024-10
60,2024-07,pro,referral,2024-07
60,2024-07,pro,referral,2024-08
60,2024-07,pro,referral,2024-09
60,2024-07,pro,referral,2024-10
61,2024-09,free,paid_search,2024-09
62,2024-07,pro,organic,2024-07
62,2024-07,pro,organic,2024-08
62,2024-07,pro,organic,2024-09
62,2024-07,pro,organic,2024-10
63,2024-04,free,paid_search,2024-04
63,2024-04,free,paid_search,2024-05
64,2024-09,free,organic,2024-09
65,2024-04,free,paid_search,2024-04
65,2024-04,free,paid_search,2024-05
66,2024-03,starter,paid_search,2024-03
66,2024-03,starter,paid_search,2024-04
66,2024-03,starter,paid_search,2024-05
66,2024-03,starter,paid_search,2024-06
66,2024-03,starter,paid_search,2024-07
66,2024-03,starter,paid_search,2024-08
67,2024-09,free,paid_search,2024-09
67,2024-09,free,paid_search,2024-10
67,2024-09,free,paid_search,2024-11
68,2024-04,free,organic,2024-04
69,2024-01,starter,referral,2024-01
69,2024-01,starter,referral,2024-02
70,2024-05,pro,referral,2024-05
70,2024-05,pro,referral,2024-06
70,2024-05,pro,referral,2024-07
70,2024-05,pro,referral,2024-08
70,2024-05,pro,referral,2024-09
70,2024-05,pro,referral,2024-10
70,2024-05,pro,referral,2024-11
70,2024-05,pro,referral,2024-12
70,2024-05,pro,referral,2025-01
70,2024-05,pro,referral,2025-02
70,2024-05,pro,referral,2025-03
71,2024-08,free,referral,2024-08
71,2024-08,free,referral,2024-09
71,2024-08,free,referral,2024-10
71,2024-08,free,referral,2024-11
72,2024-02,free,paid_search,2024-02
72,2024-02,free,paid_search,2024-03
72,2024-02,free,paid_search,2024-04
72,2024-02,free,paid_search,2024-05
72,2024-02,free,paid_search,2024-06
73,2024-05,free,paid_search,2024-05
74,2024-02,starter,organic,2024-02
74,2024-02,starter,organic,2024-03
74,2024-02,starter,organic,2024-04
74,2024-02,starter,organic,2024-05
74,2024-02,starter,organic,2024-06
75,2024-07,free,referral,2024-07
75,2024-07,free,referral,2024-08
75,2024-07,free,referral,2024-09
75,2024-07,free,referral,2024-10
75,2024-07,free,referral,2024-11
75,2024-07,free,referral,2024-12
75,2024-07,free,referral,2025-01
75,2024-07,free,referral,2025-02
75,2024-07,free,referral,2025-03
76,2024-05,pro,paid_search,2024-05
77,2024-03,free,organic,2024-03
77,2024-03,free,organic,2024-04
78,2024-03,free,organic,2024-03
78,2024-03,free,organic,2024-04
78,2024-03,free,organic,2024-05
79,2024-06,free,content,2024-06
79,2024-06,free,content,2024-07
79,2024-06,free,content,2024-08
80,2024-07,free,paid_search,2024-07
80,2024-07,free,paid_search,2024-08
81,2024-09,starter,paid_search,2024-09
81,2024-09,starter,paid_search,2024-10
82,2024-04,free,paid_search,2024-04
82,2024-04,free,paid_search,2024-05
82,2024-04,free,paid_search,2024-06
82,2024-04,free,paid_search,2024-07
83,2024-02,free,paid_search,2024-02
83,2024-02,free,paid_search,2024-03
84,2024-08,enterprise,paid_search,2024-08
84,2024-08,enterprise,paid_search,2024-09
84,2024-08,enterprise,paid_search,2024-10
84,2024-08,enterprise,paid_search,2024-11
84,2024-08,enterprise,paid_search,2024-12
85,2024-06,enterprise,organic,2024-06
85,2024-06,enterprise,organic,2024-07
85,2024-06,enterprise,organic,2024-08
85,2024-06,enterprise,organic,2024-09
85,2024-06,enterprise,organic,2024-10
85,2024-06,enterprise,organic,2024-11
85,2024-06,enterprise,organic,2024-12
85,2024-06,enterprise,organic,2025-01
85,2024-06,enterprise,organic,2025-02
85,2024-06,enterprise,organic,2025-03
86,2024-07,pro,paid_search,2024-07
86,2024-07,pro,paid_search,2024-08
86,2024-07,pro,paid_search,2024-09
86,2024-07,pro,paid_search,2024-10
86,2024-07,pro,paid_search,2024-11
86,2024-07,pro,paid_search,2024-12
87,2024-01,free,referral,2024-01
88,2024-03,free,organic,2024-03
89,2024-07,pro,referral,2024-07
89,2024-07,pro,referral,2024-08
89,2024-07,pro,referral,2024-09
89,2024-07,pro,referral,2024-10
89,2024-07,pro,referral,2024-11
89,2024-07,pro,referral,2024-12
89,2024-07,pro,referral,2025-01
90,2024-08,free,organic,2024-08
91,2024-04,free,referral,2024-04
91,2024-04,free,referral,2024-05
91,2024-04,free,referral,2024-06
91,2024-04,free,referral,2024-07
91,2024-04,free,referral,2024-08
92,2024-08,starter,paid_search,2024-08
93,2024-08,free,referral,2024-08
93,2024-08,free,referral,2024-09
93,2024-08,free,referral,2024-10
93,2024-08,free,referral,2024-11
93,2024-08,free,referral,2024-12
93,2024-08,free,referral,2025-01
93,2024-08,free,referral,2025-02
93,2024-08,free,referral,2025-03
94,2024-04,free,paid_search,2024-04
94,2024-04,free,paid_search,2024-05
94,2024-04,free,paid_search,2024-06
95,2024-09,enterprise,content,2024-09
95,2024-09,enterprise,content,2024-10
95,2024-09,enterprise,content,2024-11
95,2024-09,enterprise,content,2024-12
95,2024-09,enterprise,content,2025-01
95,2024-09,enterprise,content,2025-02
95,2024-09,enterprise,content,2025-03
96,2024-03,starter,paid_search,2024-03
96,2024-03,starter,paid_search,2024-04
96,2024-03,starter,paid_search,2024-05
96,2024-03,starter,paid_search,2024-06
97,2024-03,free,referral,2024-03
97,2024-03,free,referral,2024-04
97,2024-03,free,referral,2024-05
98,2024-07,free,referral,2024-07
98,2024-07,free,referral,2024-08
98,2024-07,free,referral,2024-09
99,2024-06,free,organic,2024-06
99,2024-06,free,organic,2024-07
99,2024-06,free,organic,2024-08
99,2024-06,free,organic,2024-09
99,2024-06,free,organic,2024-10
100,2024-02,free,organic,2024-02
100,2024-02,free,organic,2024-03
100,2024-02,free,organic,2024-04
100,2024-02,free,organic,2024-05
100,2024-02,free,organic,2024-06
100,2024-02,free,organic,2024-07
100,2024-02,free,organic,2024-08
101,2024-08,starter,paid_search,2024-08
101,2024-08,starter,paid_search,2024-09
102,2024-02,pro,organic,2024-02
102,2024-02,pro,organic,2024-03
102,2024-02,pro,organic,2024-04
102,2024-02,pro,organic,2024-05
102,2024-02,pro,organic,2024-06
102,2024-02,pro,organic,2024-07
102,2024-02,pro,organic,2024-08
102,2024-02,pro,organic,2024-09
102,2024-02,pro,organic,2024-10
102,2024-02,pro,organic,2024-11
102,2024-02,pro,organic,2024-12
102,2024-02,pro,organic,2025-01
102,2024-02,pro,organic,2025-02
102,2024-02,pro,organic,2025-03
103,2024-08,free,paid_search,2024-08
104,2024-01,free,paid_search,2024-01
104,2024-01,free,paid_search,2024-02
105,2024-08,pro,paid_search,2024-08
106,2024-08,free,organic,2024-08
106,2024-08,free,organic,2024-09
106,2024-08,free,organic,2024-10
106,2024-08,free,organic,2024-11
106,2024-08,free,organic,2024-12
106,2024-08,free,organic,2025-01
107,2024-08,free,referral,2024-08
108,2024-06,free,paid_search,2024-06
108,2024-06,free,paid_search,2024-07
108,2024-06,free,paid_search,2024-08
109,2024-05,starter,referral,2024-05
109,2024-05,starter,referral,2024-06
109,2024-05,starter,referral,2024-07
109,2024-05,starter,referral,2024-08
109,2024-05,starter,referral,2024-09
109,2024-05,starter,referral,2024-10
109,2024-05,starter,referral,2024-11
109,2024-05,starter,referral,2024-12
109,2024-05,starter,referral,2025-01
109,2024-05,starter,referral,2025-02
109,2024-05,starter,referral,2025-03
110,2024-07,free,organic,2024-07
110,2024-07,free,organic,2024-08
110,2024-07,free,organic,2024-09
110,2024-07,free,organic,2024-10
110,2024-07,free,organic,2024-11
110,2024-07,free,organic,2024-12
111,2024-03,starter,paid_search,2024-03
111,2024-03,starter,paid_search,2024-04
111,2024-03,starter,paid_search,2024-05
111,2024-03,starter,paid_search,2024-06
112,2024-08,free,organic,2024-08
112,2024-08,free,organic,2024-09
113,2024-06,starter,referral,2024-06
113,2024-06,starter,referral,2024-07
113,2024-06,starter,referral,2024-08
114,2024-05,free,organic,2024-05
115,2024-05,free,content,2024-05
116,2024-06,free,organic,2024-06
116,2024-06,free,organic,2024-07
116,2024-06,free,organic,2024-08
116,2024-06,free,organic,2024-09
117,2024-01,free,paid_search,2024-01
118,2024-02,free,organic,2024-02
118,2024-02,free,organic,2024-03
118,2024-02,free,organic,2024-04
118,2024-02,free,organic,2024-05
118,2024-02,free,organic,2024-06
119,2024-03,free,paid_search,2024-03
119,2024-03,free,paid_search,2024-04
119,2024-03,free,paid_search,2024-05
119,2024-03,free,paid_search,2024-06
120,2024-02,free,paid_search,2024-02
120,2024-02,free,paid_search,2024-03
120,2024-02,free,paid_search,2024-04
120,2024-02,free,paid_search,2024-05
120,2024-02,free,paid_search,2024-06
120,2024-02,free,paid_search,2024-07
121,2024-04,free,paid_search,2024-04
121,2024-04,free,paid_search,2024-05
121,2024-04,free,paid_search,2024-06
122,2024-07,pro,organic,2024-07
122,2024-07,pro,organic,2024-08
122,2024-07,pro,organic,2024-09
122,2024-07,pro,organic,2024-10
122,2024-07,pro,organic,2024-11
122,2024-07,pro,organic,2024-12
122,2024-07,pro,organic,2025-01
122,2024-07,pro,organic,2025-02
122,2024-07,pro,organic,2025-03
123,2024-06,free,organic,2024-06
123,2024-06,free,organic,2024-07
123,2024-06,free,organic,2024-08
123,2024-06,free,organic,2024-09
123,2024-06,free,organic,2024-10
123,2024-06,free,organic,2024-11
123,2024-06,free,organic,2024-12
123,2024-06,free,organic,2025-01
123,2024-06,free,organic,2025-02
124,2024-05,starter,organic,2024-05
125,2024-08,enterprise,content,2024-08
125,2024-08,enterprise,content,2024-09
125,2024-08,enterprise,content,2024-10
125,2024-08,enterprise,content,2024-11
125,2024-08,enterprise,content,2024-12
125,2024-08,enterprise,content,2025-01
126,2024-06,free,paid_search,2024-06
126,2024-06,free,paid_search,2024-07
126,2024-06,free,paid_search,2024-08
127,2024-01,starter,organic,2024-01
127,2024-01,starter,organic,2024-02
127,2024-01,starter,organic,2024-03
127,2024-01,starter,organic,2024-04
127,2024-01,starter,organic,2024-05
127,2024-01,starter,organic,2024-06
127,2024-01,starter,organic,2024-07
127,2024-01,starter,organic,2024-08
127,2024-01,starter,organic,2024-09
127,2024-01,starter,organic,2024-10
127,2024-01,starter,organic,2024-11
127,2024-01,starter,organic,2024-12
127,2024-01,starter,organic,2025-01
127,2024-01,starter,organic,2025-02
127,2024-01,starter,organic,2025-03
128,2024-07,pro,content,2024-07
129,2024-06,starter,organic,2024-06
129,2024-06,starter,organic,2024-07
129,2024-06,starter,organic,2024-08
129,2024-06,starter,organic,2024-09
130,2024-06,free,paid_search,2024-06
130,2024-06,free,paid_search,2024-07
130,2024-06,free,paid_search,2024-08
130,2024-06,free,paid_search,2024-09
130,2024-06,free,paid_search,2024-10
131,2024-06,free,referral,2024-06
131,2024-06,free,referral,2024-07
131,2024-06,free,referral,2024-08
131,2024-06,free,referral,2024-09
132,2024-05,free,content,2024-05
133,2024-01,free,referral,2024-01
134,2024-06,enterprise,paid_search,2024-06
134,2024-06,enterprise,paid_search,2024-07
134,2024-06,enterprise,paid_search,2024-08
134,2024-06,enterprise,paid_search,2024-09
134,2024-06,enterprise,paid_search,2024-10
135,2024-08,enterprise,content,2024-08
135,2024-08,enterprise,content,2024-09
135,2024-08,enterprise,content,2024-10
135,2024-08,enterprise,content,2024-11
135,2024-08,enterprise,content,2024-12
135,2024-08,enterprise,content,2025-01
135,2024-08,enterprise,content,2025-02
135,2024-08,enterprise,content,2025-03
136,2024-03,free,organic,2024-03
136,2024-03,free,organic,2024-04
136,2024-03,free,organic,2024-05
136,2024-03,free,organic,2024-06
136,2024-03,free,organic,2024-07
136,2024-03,free,organic,2024-08
136,2024-03,free,organic,2024-09
136,2024-03,free,organic,2024-10
137,2024-06,starter,content,2024-06
138,2024-01,free,referral,2024-01
138,2024-01,free,referral,2024-02
138,2024-01,free,referral,2024-03
138,2024-01,free,referral,2024-04
138,2024-01,free,referral,2024-05
138,2024-01,free,referral,2024-06
138,2024-01,free,referral,2024-07
139,2024-04,pro,content,2024-04
139,2024-04,pro,content,2024-05
139,2024-04,pro,content,2024-06
139,2024-04,pro,content,2024-07
139,2024-04,pro,content,2024-08
139,2024-04,pro,content,2024-09
139,2024-04,pro,content,2024-10
139,2024-04,pro,content,2024-11
140,2024-04,free,organic,2024-04
141,2024-09,pro,organic,2024-09
141,2024-09,pro,organic,2024-10
142,2024-02,pro,referral,2024-02
142,2024-02,pro,referral,2024-03
142,2024-02,pro,referral,2024-04
142,2024-02,pro,referral,2024-05
142,2024-02,pro,referral,2024-06
142,2024-02,pro,referral,2024-07
142,2024-02,pro,referral,2024-08
142,2024-02,pro,referral,2024-09
142,2024-02,pro,referral,2024-10
142,2024-02,pro,referral,2024-11
142,2024-02,pro,referral,2024-12
142,2024-02,pro,referral,2025-01
143,2024-03,free,paid_search,2024-03
144,2024-04,free,paid_search,2024-04
145,2024-09,pro,content,2024-09
145,2024-09,pro,content,2024-10
145,2024-09,pro,content,2024-11
145,2024-09,pro,content,2024-12
145,2024-09,pro,content,2025-01
145,2024-09,pro,content,2025-02
145,2024-09,pro,content,2025-03
146,2024-08,free,paid_search,2024-08
146,2024-08,free,paid_search,2024-09
147,2024-01,free,organic,2024-01
147,2024-01,free,organic,2024-02
147,2024-01,free,organic,2024-03
147,2024-01,free,organic,2024-04
148,2024-03,pro,paid_search,2024-03
148,2024-03,pro,paid_search,2024-04
148,2024-03,pro,paid_search,2024-05
148,2024-03,pro,paid_search,2024-06
148,2024-03,pro,paid_search,2024-07
149,2024-08,free,organic,2024-08
150,2024-01,free,organic,2024-01
150,2024-01,free,organic,2024-02
151,2024-08,free,organic,2024-08
152,2024-03,free,referral,2024-03
152,2024-03,free,referral,2024-04
152,2024-03,free,referral,2024-05
152,2024-03,free,referral,2024-06
152,2024-03,free,referral,2024-07
152,2024-03,free,referral,2024-08
152,2024-03,free,referral,2024-09
153,2024-09,enterprise,referral,2024-09
154,2024-03,free,paid_search,2024-03
154,2024-03,free,paid_search,2024-04
155,2024-04,free,paid_search,2024-04
155,2024-04,free,paid_search,2024-05
155,2024-04,free,paid_search,2024-06
155,2024-04,free,paid_search,2024-07
155,2024-04,free,paid_search,2024-08
155,2024-04,free,paid_search,2024-09
155,2024-04,free,paid_search,2024-10
155,2024-04,free,paid_search,2024-11
155,2024-04,free,paid_search,2024-12
156,2024-06,free,referral,2024-06
156,2024-06,free,referral,2024-07
156,2024-06,free,referral,2024-08
156,2024-06,free,referral,2024-09
156,2024-06,free,referral,2024-10
156,2024-06,free,referral,2024-11
156,2024-06,free,referral,2024-12
156,2024-06,free,referral,2025-01
156,2024-06,free,referral,2025-02
156,2024-06,free,referral,2025-03
157,2024-02,enterprise,referral,2024-02
157,2024-02,enterprise,referral,2024-03
157,2024-02,enterprise,referral,2024-04
157,2024-02,enterprise,referral,2024-05
157,2024-02,enterprise,referral,2024-06
157,2024-02,enterprise,referral,2024-07
157,2024-02,enterprise,referral,2024-08
157,2024-02,enterprise,referral,2024-09
157,2024-02,enterprise,referral,2024-10
157,2024-02,enterprise,referral,2024-11
157,2024-02,enterprise,referral,2024-12
157,2024-02,enterprise,referral,2025-01
157,2024-02,enterprise,referral,2025-02
157,2024-02,enterprise,referral,2025-03
158,2024-06,free,content,2024-06
159,2024-05,pro,paid_search,2024-05
160,2024-08,starter,referral,2024-08
160,2024-08,starter,referral,2024-09
160,2024-08,starter,referral,2024-10
160,2024-08,starter,referral,2024-11
160,2024-08,starter,referral,2024-12
160,2024-08,starter,referral,2025-01
160,2024-08,starter,referral,2025-02
160,2024-08,starter,referral,2025-03
161,2024-09,pro,paid_search,2024-09
161,2024-09,pro,paid_search,2024-10
161,2024-09,pro,paid_search,2024-11
161,2024-09,pro,paid_search,2024-12
162,2024-06,enterprise,paid_search,2024-06
162,2024-06,enterprise,paid_search,2024-07
162,2024-06,enterprise,paid_search,2024-08
163,2024-04,pro,content,2024-04
163,2024-04,pro,content,2024-05
163,2024-04,pro,content,2024-06
163,2024-04,pro,content,2024-07
163,2024-04,pro,content,2024-08
163,2024-04,pro,content,2024-09
163,2024-04,pro,content,2024-10
163,2024-04,pro,content,2024-11
163,2024-04,pro,content,2024-12
164,2024-04,pro,paid_search,2024-04
164,2024-04,pro,paid_search,2024-05
164,2024-04,pro,paid_search,2024-06
164,2024-04,pro,paid_search,2024-07
164,2024-04,pro,paid_search,2024-08
164,2024-04,pro,paid_search,2024-09
165,2024-04,free,paid_search,2024-04
166,2024-08,starter,organic,2024-08
166,2024-08,starter,organic,2024-09
166,2024-08,starter,organic,2024-10
166,2024-08,starter,organic,2024-11
166,2024-08,starter,organic,2024-12
166,2024-08,starter,organic,2025-01
166,2024-08,starter,organic,2025-02
166,2024-08,starter,organic,2025-03
167,2024-03,free,paid_search,2024-03
167,2024-03,free,paid_search,2024-04
167,2024-03,free,paid_search,2024-05
167,2024-03,free,paid_search,2024-06
167,2024-03,free,paid_search,2024-07
168,2024-02,free,paid_search,2024-02
168,2024-02,free,paid_search,2024-03
169,2024-04,pro,referral,2024-04
169,2024-04,pro,referral,2024-05
169,2024-04,pro,referral,2024-06
169,2024-04,pro,referral,2024-07
169,2024-04,pro,referral,2024-08
169,2024-04,pro,referral,2024-09
169,2024-04,pro,referral,2024-10
169,2024-04,pro,referral,2024-11
169,2024-04,pro,referral,2024-12
169,2024-04,pro,referral,2025-01
169,2024-04,pro,referral,2025-02
169,2024-04,pro,referral,2025-03
170,2024-01,enterprise,paid_search,2024-01
170,2024-01,enterprise,paid_search,2024-02
170,2024-01,enterprise,paid_search,2024-03
170,2024-01,enterprise,paid_search,2024-04
170,2024-01,enterprise,paid_search,2024-05
170,2024-01,enterprise,paid_search,2024-06
170,2024-01,enterprise,paid_search,2024-07
170,2024-01,enterprise,paid_search,2024-08
170,2024-01,enterprise,paid_search,2024-09
171,2024-01,starter,organic,2024-01
171,2024-01,starter,organic,2024-02
172,2024-01,free,content,2024-01
172,2024-01,free,content,2024-02
172,2024-01,free,content,2024-03
173,2024-07,free,organic,2024-07
173,2024-07,free,organic,2024-08
173,2024-07,free,organic,2024-09
173,2024-07,free,organic,2024-10
173,2024-07,free,organic,2024-11
174,2024-07,free,content,2024-07
174,2024-07,free,content,2024-08
174,2024-07,free,content,2024-09
174,2024-07,free,content,2024-10
174,2024-07,free,content,2024-11
174,2024-07,free,content,2024-12
174,2024-07,free,content,2025-01
174,2024-07,free,content,2025-02
174,2024-07,free,content,2025-03
175,2024-07,free,organic,2024-07
175,2024-07,free,organic,2024-08
175,2024-07,free,organic,2024-09
176,2024-05,free,paid_search,2024-05
177,2024-07,free,paid_search,2024-07
177,2024-07,free,paid_search,2024-08
178,2024-02,free,referral,2024-02
178,2024-02,free,referral,2024-03
178,2024-02,free,referral,2024-04
179,2024-09,starter,organic,2024-09
179,2024-09,starter,organic,2024-10
179,2024-09,starter,organic,2024-11
179,2024-09,starter,organic,2024-12
180,2024-05,free,content,2024-05
181,2024-09,pro,paid_search,2024-09
181,2024-09,pro,paid_search,2024-10
181,2024-09,pro,paid_search,2024-11
181,2024-09,pro,paid_search,2024-12
181,2024-09,pro,paid_search,2025-01
181,2024-09,pro,paid_search,2025-02
181,2024-09,pro,paid_search,2025-03
182,2024-02,starter,paid_search,2024-02
182,2024-02,starter,paid_search,2024-03
182,2024-02,starter,paid_search,2024-04
182,2024-02,starter,paid_search,2024-05
182,2024-02,starter,paid_search,2024-06
183,2024-05,free,paid_search,2024-05
184,2024-07,free,organic,2024-07
185,2024-05,free,paid_search,2024-05
186,2024-05,enterprise,organic,2024-05
187,2024-02,free,organic,2024-02
187,2024-02,free,organic,2024-03
